播主昵称,达人详情链接,抖音号,播主粉丝数,视频标题,发布时间,视频时长,传播指数,点赞,评论,分享,收藏,播放,热词,视频详情链接,视频链接
戴梦茹666,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59316851&tab=&ts=1719989024&sign=3566909b3d1c7fa1af9976912126beed,79860372891,70264,[戴梦茹666](2024-06-27)发布的视频,2024/6/27 17:18:19,21秒,95.6,291465,29655,196555,11108,5484671,"好听,年纪,豪庭,OK,宕机,喜欢,首歌,好好听,感觉,好听的,调皮,有品,漂亮,发呆,男人,还挺好听,ktv,九转,大肠,年龄,猪头,有品味,女人爱,好像,真好听,刷到,眼镜,潇洒,听过,蛋蛋",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385109882023709990&dateCode=20240627&ts=1719989024&sign=1c694436ed681828ae3ab8596a620adb,https://www.douyin.com/share/video/7385109882023709990/?mid=
大荔有点馋,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51343620&tab=&ts=1719989024&sign=10324dbaad19bc82dfdb144b44b75ba6,yyq51888888,74872,140多-89的经历告诉你，减肥只是很短的过程，而变好变优秀才是持续努力的意义#好身材练起来 #变美变瘦变好看 #自律遇见更好的自己 #自律 #减脂,2024/6/28 20:51:54,2分53秒,95.5,240316,20146,103148,37779,18937015,"减肥,运动,励志,瘦了,瘦下来,姐妹,感觉,厉害,佩服,年轻,好厉害,跳绳,体重,太厉害了,姐姐,减到,狠人,的人,好看,无氧,太牛了,饮食,有氧,毅力,时间,好棒,太棒了,有没有,减了,瘦到",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385536029890989347&dateCode=20240628&ts=1719989024&sign=f50d067b768d0f99d78e7a167195285e,https://www.douyin.com/share/video/7385536029890989347/?mid=
洁柔霸总,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=50324630&tab=&ts=1719989024&sign=ad26c766ffb39f84546a7a49be7e06b5,IAMCEO_BaBa,89513,笨蛋小助理还说闭关偷学了 结果连击球都不会 #桌球 #洁柔 #手把手教学,2024/6/28 18:00:00,14秒,95.5,481245,89215,456144,27093,11768167,"洁柔,广告,卖纸,宕机,九转,大肠,OK,看了,这是,不知道,评论区,纸巾,看评论区,商战,发呆,买纸,打台球,不打,评论,发现,才知道,调皮,爱看,勾引,教我,感觉,男的,没看见,台球,官方",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385457940007767359&dateCode=20240628&ts=1719989024&sign=eb4bedbf10c6c4846741286fb7f70b64,https://www.douyin.com/share/video/7385457940007767359/?mid=
~肥喵胖福~,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=35933944&tab=&ts=1719989024&sign=eee27af42d98e02ec68c912fc3306570,377945673,35687,人猫大战 渣猫永不服输 😃😃😃#中华狸花猫#萌宠出道计划 #铲屎官的乐趣 #10斤的猫9斤的反骨 #猫咪的迷惑行为,2024/6/27 10:50:28,32秒,95.5,326547,31250,393331,10769,12463421,"我家,不服,开局,大金链,九转,大肠,逆子,狸花猫,袋鼠,来福,送十连抽,常威,爪子,老实,暗中观察,犟种,打架,猫咪,宕机,猫猫,大嘴巴子,狸花,飞机,一模一样,打不过,嘴巴子,金链,涛哥,打的,小猫",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385009936280866057&dateCode=20240627&ts=1719989024&sign=774981af0fd3df01fc0f5746d23412e1,https://www.douyin.com/share/video/7385009936280866057/?mid=
酷酷俱乐部,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=1555279&tab=&ts=1719989024&sign=8ce77f7f4d27a083133b795a22cd4579,RDQX7788,999846,主人：终究是错付了 #狗子的迷惑行为 #金毛 #搞笑 #心机,2024/6/30 18:47:42,13秒,95.4,368847,46481,662856,8589,11396985,"心机,聪明,宕机,笑死我了,发呆,金毛,OK,艾特,你看,好聪明,努力了,给你,dog,主人,好可爱,没想到,宝宝,我去,和你一样,九转,大肠,狗狗,小金毛,调皮,疑问,boy,暗中观察,心眼子,输给,看到最后",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386246097888365874&dateCode=20240630&ts=1719989024&sign=fbdbca2a450016731ce4e21378ddd1f7,https://www.douyin.com/share/video/7386246097888365874/?mid=
By,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=26700159&tab=&ts=1719989024&sign=b7193438635a77f5761d21bf55af869d,tio1.,377107,7月第一天 许个愿吧,2024/6/30 0:16:19,25秒,95.4,233533,57111,50433,12089,4548380,"感谢,希望,上岸,成绩,飙升,全科,有副作用,家人,平安,身体健康,平平安安,所愿,顺利,天天开心,中考,希望我,在一起,心想事成,所得,健康,许愿,录取,抱抱,顺顺利利,金榜题名,健健康康,志愿,逢考必过,幸福,无副作用",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385959735872228658&dateCode=20240630&ts=1719989024&sign=63a67b2bc7e32a4671432867210ecce9,https://www.douyin.com/share/video/7385959735872228658/?mid=
Kkkkkkk,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51303330&tab=&ts=1719989024&sign=0e0977efdc90fc35b2fa15329c9cfd77,KH43723,20392,好好好也算是人生巅峰了，整个活，和整个药院的所有领导合个影哈哈哈，这辈子值了！#毕业季 #毕业🎓 #前程似锦 #高校毕业典礼花式大赏,2024/6/28 12:22:08,1分30秒,95.4,673135,38135,310060,18908,22715572,"同学,奖状,院长,优秀,老师,显眼包,证书,牛逼,学校,宕机,孩子,厉害,发呆,毕业,九转,大肠,的人,好厉害,哥们,人脉,小子,校长,这是,暗中观察,实力,我去,太牛了,上台,学生,社牛",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385404628847906111&dateCode=20240628&ts=1719989024&sign=abff4cee6ed4595dfcac44d845baf527,https://www.douyin.com/share/video/7385404628847906111/?mid=
紫竹远见,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59558570&tab=&ts=1719989024&sign=a9de76654b82953f11042ff6235838f1,40593813410,506564,小猫被过往车碾压，环卫工人轻轻抱起试图唤醒！网友：去猫星的这天碰到了柔软的神～,2024/6/29 8:54:45,14秒,95.3,276123,837,14144,4585,1113307,"小猫,善良,大叔,叔叔,感谢,好人,看不得,平安,的人,小猫咪,希望,一生,平平安安,看不了,猫猫,好可怜,心疼,哭了,健健康康,死了,我家,眼睛,流浪猫,环卫工人,尿尿,小动物,尸体,爷爷,让我,说不定",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385722281969913114&dateCode=20240629&ts=1719989024&sign=d92a0a65a564f8526930df0927ed2f55,https://www.douyin.com/share/video/7385722281969913114/?mid=
汪东城JIRO_S_FAN_CLUB,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8936449&tab=&ts=1719989024&sign=e09c9f86bdbe7c3e02e12aae95cb7b6b,JIRO_S_FAN_CLUB,91507,#汪东城 今日份天津音乐节，Killing Part🔥火速上线！——@汪东城 没有一个现场是错过不会后悔的🤩🤩🤩！#汪东城心动瞬间挑战,2024/6/29 15:18:27,16秒,95.2,228363,21386,363201,9286,18790926,"炎亚纶,汪东城,喜欢,大东,身材,不老,理解,男人,迷死,看了,九转,大肠,衣服,迷糊,年轻,宕机,感觉,暗中观察,东哥,爱看,小学,评论区,好帅,灵机一动,好看,飞轮海,腹肌,眼光,质疑,发呆",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385821171335302438&dateCode=20240629&ts=1719989024&sign=9c7a5b434687422582bb19efc5eba8d1,https://www.douyin.com/share/video/7385821171335302438/?mid=
樊拍凯摄,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45429447&tab=&ts=1719989024&sign=e47f2db2a9eaa43df180793e0baf0121,FKSTUDIO,117543,今晚白玉兰，玫瑰来啦！#刘亦菲 #玫瑰的故事,2024/6/28 19:18:31,13秒,95.2,167676,12057,40521,10676,16589413,"万茜,鼻子,刘亦菲,胡歌,好看,好美,侧脸,逍遥哥哥,侧颜,好像,好好看,感觉,长发,美女,喜欢,灵儿,很美,同框,神仙姐姐,好漂亮,两个人,漂亮,真好看,太美了,好美啊,驼峰,大美女,李逍遥,明星,两人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385511950865714484&dateCode=20240628&ts=1719989024&sign=8243ce13579e4751ecfe5247f864a038,https://www.douyin.com/share/video/7385511950865714484/?mid=
今天吃爆辣火锅,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65729223&tab=&ts=1719989024&sign=468ca691ab1f280d09d418b358d50593,83045181784,8352,#💅美妆💄 #美妆种草 #平价,2024/6/29 14:48:19,11秒,95.2,447334,37721,481091,80439,12731038,"链接,想要,我去,发呆,喜欢,宕机,OK,感觉,想买,实用,我要,牛逼,心动,我靠,一本,九转,大肠,心动了,高级,适合,cos,给我,猪头,好喜欢,我想要,调皮,不错,多少钱,宝宝,好用",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385813397784235275&dateCode=20240629&ts=1719989024&sign=fe259a1bb72b185767c2e62390749a74,https://www.douyin.com/share/video/7385813397784235275/?mid=
深八娱乐,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7697692&tab=&ts=1719989024&sign=d1804394080b48e2cac2bc4ab6898f59,53658826dx,94312,什么展 我问你在办什么展#漫展 #二次元,2024/6/28 19:18:10,24秒,95.1,282791,51476,162385,14427,5794482,"团建,OK,宕机,赤红之瞳,第五人格,九转,大肠,咒术回战,cos,咒术,弹丸论破,调皮,鬼灭,去吧,全员,已故,柯南,诚哥,二次元,角色,走啊,都能,火影,五条悟,地狱客栈,逞强,落泪,咒回,巨人,首领",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385511848570834226&dateCode=20240628&ts=1719989024&sign=86abb69925251baaf30017dc578f5909,https://www.douyin.com/share/video/7385511848570834226/?mid=
哎呦喂,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16954249&tab=&ts=1719989024&sign=f1843f4b8a04e16c42d96fc6ace88c82,Aiyouwei11243,317623,"上头了 身体不自觉地扭起来了
#戴上耳机#越听越上头#fastcarssuperstars",2024/6/29 14:12:26,22秒,95.1,164264,13343,23696,29497,13759274,"队伍,嗨起来,首歌,国公,艾瑞,摇起来,灵机一动,在哪,音乐,满脑子,萧蘅,感觉,九转,大肠,出来了,巴得,call,不错,队形,扭起来,节奏,整齐划一,乱七八糟,你行,就来,奇葩,逞强,落泪,一支,猫猫",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385804151374089522&dateCode=20240629&ts=1719989024&sign=4be68f2fdc83d4ebcaf2f94edf1adaed,https://www.douyin.com/share/video/7385804151374089522/?mid=
鹅厂追星酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59745109&tab=&ts=1719989024&sign=cc6893b67dd9d22ca7d9c2e00789a5e7,41333311707,75596,谁听了不迷糊，这钱就该孟子义赚！ #五十公里桃花坞第3季 #孟子义 #李嘉琦 #搞笑,2024/6/27 19:00:00,45秒,95.1,226395,11065,138057,8827,8517983,"孟姐,孟子义,兰闺,喜事,好听,情绪价值,说话,喜欢,唱歌,笑死我了,给她,会说话,算命,九转,大肠,情商,笑死了,拉满,确实,好会,辣目洋子,好像,感觉,算命的,很好看,灵机一动,嘴角,脑子,好看,学习",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385075657421688090&dateCode=20240627&ts=1719989024&sign=b25396bf87478240ec9df74fa7a9ae04,https://www.douyin.com/share/video/7385075657421688090/?mid=
安庆天柱山,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=2707796&tab=&ts=1719989024&sign=4d94b2528b1c8bd197e0eed563747f45,178056539,132111,我在天柱山遇到吊带大队！#安徽天柱山 #爬山 #吊带,2024/7/2 8:42:27,12秒,95.0,182281,15023,340422,8620,10258321,"爬山,拒绝,做起,女色,中华,建设,吊带,喜欢,墨镜,天柱山,武功山,我去,都是,河南,阿姨,让我,倒数,笑死了,的人,浙江,发呆,山西,感觉,出发,河南省,暗中观察,广东,背心,安徽,江苏",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386832351684267299&dateCode=20240702&ts=1719989024&sign=a6038c59a24e2425ff85849ffccb5e0b,https://www.douyin.com/share/video/7386832351684267299/?mid=
小弹簧,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=18747640&tab=&ts=1719989024&sign=6e8e6bf09a41e336b34d169c5f9bc89a,21236556857,100607,博尔特都望尘莫及？ #沃兰迪熊猫跑鞋 #沃兰迪,2024/6/29 21:43:14,25秒,95.0,477049,45971,366291,34620,29915167,"感觉,摔倒,OK,配重,跑步,姿势,跑的,恶魔人,宕机,重心,笑死我了,摔了,九转,大肠,跑步姿势,确实,试试,身体,摔跤,动漫,速度,学会了,刹不住,发呆,跑法,狗吃屎,你没有,屁股,不稳,脸刹",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385920332395269391&dateCode=20240629&ts=1719989024&sign=7069cacd33c3a966a82598148345b202,https://www.douyin.com/share/video/7385920332395269391/?mid=
空天逐梦,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7612829&tab=&ts=1719989024&sign=9c9f9cd2e802938eeae3b6cc7bdda4f3,1836503970,420572,最强开箱！他来了！#聚v计划 #嫦娥六号,2024/6/26 18:37:04,14秒,95.0,235419,35641,5367,9313,25853000,"月球,快递,回来,地球,会不会,月壤,辐射,东西,中国,美国,口罩,土壤,病毒,能不能,嫦娥,防护服,有没有,研究,打开,月亮,科学家,种菜,国家,防护,带口罩,黄金,多少钱,开箱,给我,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384759041857293622&dateCode=20240626&ts=1719989024&sign=aaf552aec8f94d8ad6da68b6c6e773fb,https://www.douyin.com/share/video/7384759041857293622/?mid=
韩朵朵🐰(努力版),https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16817667&tab=&ts=1719989024&sign=5900ee7d0b226a719ac298d41ca28fae,906537500,133624,别看姐经验丰富 结婚一周年真是头次过@宋浩然-28号且初专场,2024/6/29 1:12:23,,95.0,199610,21023,199353,1999,13406906,"文案,幸福,小猪,笑死,漂亮,抱抱,韩安冉,好漂亮,感觉,希望,结婚,好看,孩子,笑死我了,被爱,猪头,爱人,能用,安冉,好可爱,如养,好好看,拖鞋,的人,手环,一直幸福,看着,直播,老公,猪妹",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385602964246859048&dateCode=20240629&ts=1719989024&sign=9bf6298496f82dc4a569721bd02225dc,https://www.douyin.com/share/video/7385602964246859048/?mid=
靖融视讯,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=29687751&tab=&ts=1719989024&sign=dd114439e2e77a95129ab7fdf75550fb,40477787466,307390,刚满月的狗子被主人带出来营业，路人纷纷上前撸狗，狗子满脸写着抗拒#萌宠 #这狗成精了 #狗狗 来源：@柚子妈妈和柚子,2024/7/2 15:15:11,10秒,95.0,155885,10903,333396,4954,6600193,"好可爱,狗子,满月,上班,好像,生气,表情,疫苗,眼神,拉布拉多,没事,感觉,窝囊,选择,喜欢,狗狗,窝囊气,一脸,九转,大肠,被迫营业,太可爱了,小狗,样子,熬夜,生病,也有,小眼神,主人,像不像",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386933560252304652&dateCode=20240702&ts=1719989024&sign=9b5134bbfaa8d10eed62bb0c131f0060,https://www.douyin.com/share/video/7386933560252304652/?mid=
A0松哥,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=50559149&tab=&ts=1719989024&sign=096ba003d13b5bc762527e8c3a9a29b5,209927362,13794,《休伤吾主》#护主的狗狗,2024/6/28 16:13:13,29秒,95.0,486741,31574,86533,25823,7803069,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385464147665882395&dateCode=20240628&ts=1719989024&sign=85543351a80ae524e31467a75746cb6f,https://www.douyin.com/share/video/7385464147665882395/?mid=
学习加油站（教师版）,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=22836294&tab=&ts=1719989024&sign=87e8def12fdbc924954e98219634d4f9,dylkx.6666,259715,中考查分那天 你会获得一个初三以来最高的分数用这个音乐 超灵！！！#查分了信一回这个音乐 #中考查分#查分,2024/6/28 16:43:43,7秒,95.0,152905,40063,4106,12360,1239689,"感谢,飙升,成绩,接接,有副作用,全科,上岸,无副作用,国家,中考,金榜题名,预估,志愿,贵人,录取,总分,成功上岸,复制,考上,求求了,超常发挥,批卷,理想,中考成绩,成功,学业有成,保佑,改卷,逢考必过,顺利",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385472040607714610&dateCode=20240628&ts=1719989024&sign=8e2e1746f77d7dfc4ce6cc5cbcd15e4c,https://www.douyin.com/share/video/7385472040607714610/?mid=
鹅厂追星酱,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59745109&tab=&ts=1719989024&sign=cc6893b67dd9d22ca7d9c2e00789a5e7,41333311707,75596,王传君竟然这么会唱歌嘛 #五十公里桃花坞第4季 #孟子义 #王传君 #合唱 #综艺,2024/6/27 19:30:40,52秒,95.0,240554,18620,133833,8543,12171277,"王传君,孟子义,唱歌,好男儿,好听,出道,声音,我以为,感觉,孟姐,带偏,关谷,跑调,有空,潘玮柏,带跑,好像,厉害,选秀,唱的,汪峰,礼拜,九转,大肠,关谷神奇,原唱,宕机,不知道,没想到,灵机一动",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385112323800829247&dateCode=20240627&ts=1719989024&sign=bb35153cc26bf9ecbd0bcab34343859c,https://www.douyin.com/share/video/7385112323800829247/?mid=
美国大傻春,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=63995257&tab=&ts=1719989024&sign=0926b6f6aa269e2fe460a0a4fec8438b,858369099,45175,我嘞个双截龟啊🌚🌚#糖#我嘞个豆 #精神氮泵 #内容启发搜索 #大傻春,2024/6/30 19:42:45,9秒,95.0,302636,92060,968121,14395,8630198,"OK,艾特,老公,喜欢,好友,我善,调皮,宕机,ing,黑皮,好可爱,九转,大肠,刷到,两眼一黑,朋友,大王,你们老公,超级无敌,发呆,别跑,阿里嘎多,忍者神龟,分享,我一个人,好看,感谢,好东西,难受,睡觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386260348594179364&dateCode=20240630&ts=1719989024&sign=ce33206d45b793698717ce20e61efb60,https://www.douyin.com/share/video/7386260348594179364/?mid=
衡水日报社,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8668158&tab=&ts=1719989024&sign=1f9cf5b920ece1a1ba6f04892514b735,hsrbsxmt,226807,身高1.1米的36岁“深井救人英雄”衡水安平农民赵成龙面对媒体首次发声：再有紧急情况，我还会站出来！@赵成龙 #衡水#救人英雄,2024/6/27 14:54:03,12秒,95.0,170873,7609,6513,3210,8051144,"英雄,成龙,感谢,高先生,昆仑,万丈,好人,一生,平安,天生我材必有用,致敬,孩子,见义勇为,巨人,身高,德高,的人,善良,救援,大义,高大,安平,消防队,三尺,救人一命,意义,奖金,必有用,点赞,荣誉证书",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385072680766131497&dateCode=20240627&ts=1719989024&sign=af5496b354874404914e846e682d9f30,https://www.douyin.com/share/video/7385072680766131497/?mid=
