点赞,评论,分享,收藏,播放,热词
223658,8756,25121,13787,12647842,"电影,烈士陵园,看了,刷到,连长,蒙生,倪大红,中国,看过,四爷,董卓,好电影,诸葛亮,花环,开来,哭了,雷军,的人,看一遍,都会,眼睛,高山,人民,司马懿,贵妇人,战争,儿子,眼泪,百看不厌,英雄"
259993,31448,430908,13927,16275600,"陀螺,发呆,好帅,特效,宕机,动画片,异火,心火,青莲,火焰,卧槽,飓风战魂,琉璃,莲心,我去,牛逼,是真的,红色,OK,想玩,九转,大肠,好玩,太帅了,燃起来了,萧炎,领域展开,好看,火力少年王,男人"
209560,5774,37842,15548,3919667,"冰箱,我家,吊带,思念,全是,宝宝,呼吸,链接,都是,生命,剩菜,感觉,也有,好看,有你,好像,赵露思,拍的,姐姐,调皮,OK,老婆,宕机,九转,大肠,给你,只能,不行,给我,适合"
298214,27959,366356,6929,9501898,"发呆,宕机,牛逼,警车,八字,头盔,OK,哥们,九转,大肠,我去,全体起立,自行车,惊恐,卧槽,祖宗,警察,疑问,nb,路人,钻过去,逆天,暗中观察,摆头,电影,重要性,摩托车,我靠,阎王,撤回"
221102,11936,46415,12601,3585781,"好帅,小新,蜡笔小新,宕机,OK,我去,表哥,发呆,人物,这是,堂哥,帅哥,帅的,没见过,感觉,看过,猪头,喜欢,真的帅,风间,真帅,画风,看了,不知道,调皮,九转,大肠,记得,帅啊,印象"
312732,43255,203254,12278,9255067,"吵架,猫条,白猫,化妆,笑死我了,橘猫,大橘,大白,笑死了,小白,假装,九转,大肠,pk,笑死,好可爱,宕机,打架,三花,没眼看,演戏,两只猫,猫猫,PK,圈点,吃的,主播,绝育,博主,有没有"
219957,21541,157368,8250,8428430,"武汉,晚霞,火烧云,好看,拍的,拍到,好美,好好看,错过了,意味着,学校,发呆,不出门,也有,行千里,宝宝,上岸,天空,OK,没看见,感谢,宕机,赶上,朝霞,调皮,苏醒,我去,暴雨,下雨,这是"
333868,12107,43707,15909,8799957,"历史,宕机,毕业了,历史书,学历史,OK,朝代,毕业,九转,大肠,山海经,挖到,没毕业,还好,唐尧虞舜,老祖宗,中国,挖出来,证明,盘古,考古,挖出,学生,文字,有福,近代史,文明,能不能,专业,神话"
221977,13104,34345,4085,6730582,"请假,理由,好好活着,抱抱,早日康复,活着,宝宝,好朋友,出院,休息,我可以,自有妙计,用不着,你别,康复,健康,我有,好好的,给我,希望,辞职,朋友,你好,健健康康,上班,旷工,不准,办法,没事,老板"
160557,6147,131514,9239,11902081,"想玩,好玩,爱看,好看,好好玩,减速带,扭扭车,感觉,比赛,尾流,闷闷,宕机,看着,破风,发呆,脚刹,九转,大肠,老哥,硬控,下坡,刹车,男人,秋秋,OK,刷到,这是,有意思,男生,是真的"
226607,17864,67713,8306,4463970,"球拍,嫁妆,姐姐,拍子,见过,喜欢,入赘,OK,老婆,发呆,女孩,宕机,彩礼,能不能,结婚,性别,不谈,漂亮的,最美,宝宝,羽毛球,想要,给我,抛开,女人,川崎,可以吗,拿下,调皮,这是"
504205,36397,102135,41673,6859032,"不想,羡慕,没事,嫉妒,光头,我去,很想,上海,发出,跳楼,音乐会,OK,包听,逞强,落泪,老公,啊啊啊啊,听话,声音,眼含,热泪,宕机,九转,大肠,听到,哭了,没去,发呆,好啊,感觉"
398110,20013,360799,21022,9063118,"OK,佛祖,笑死我了,佛说,正片,宕机,看到最后,功德,广告,ing,还好,九转,大肠,女朋友,发呆,用户,讨厌,不行,生性,多疑,分享,笑死了,大王,好友,视频,喜欢,艾特,转发给,小猫,爱吃"
121343,12099,114058,3521,8135934,"笑死我了,那英,帮人,未遂,OK,笑死了,危言耸听,宕机,珊珊,英子,九转,大肠,表情,一句,我笑死,我以为,娜姐,给他,不吃,小女孩,小孩,感觉,电视剧,逆天,表情包,笑点,看着,有点像,大粪,认出来"
314757,10879,44173,20359,3087655,"宝宝,吱声,秒回,评论,点赞,更好,活跃,猪头,新号,包回,抱抱,好美,秒赞,巨快,评论区,会回,账号,爱心,好看,调皮,听说,喜欢,OK,很闲,太美了,头像,新发,求求了,作品,美女"
214298,6337,272520,25121,8370303,"广工,喜欢,看了,爱看,震感,抖音,青春,广东,暗中观察,女孩子,发呆,学校,女生,灵机一动,观看,好看,这是,大眼睛,跑步,眼睛,活泼,活力,九转,大肠,表达,网友,大学,确实,艾特,不白看"
291066,6113,199705,19869,5245386,"动静,喜欢,声音,发呆,OK,吓我一跳,宕机,宝宝,九转,大肠,手机,什么动静,爱看,giao,这是,我以为,你老婆,老艾,让我,迷成,爽了,好听,好看,爱心,土豆,在干嘛,智障,听到,好可爱,我家"
265461,9613,196699,6691,9709593,"打架,抱摔,宕机,常威,九转,大肠,狗子,来福,拖鞋,打不过,笑死我了,打的,耶耶,打起来了,暗中观察,男朋友,萨摩耶,监控,摔跤,有来有回,发呆,狗狗,笑死了,玩不起,老实,不讲武德,我家,小狗,打起来,好可爱"
158668,19827,34519,3208,8394256,"马赫,奥特曼,拼音,速度,中国,嫦娥,文物,大英博物馆,导弹,奥特之王,日本,归还,change,月球,国家,回来,真有,东西,中文,OK,三十而立,打击,命名,回收,九转,大肠,概念,真的有,宕机,汉字"
185371,3524,28700,7847,8123837,"好漂亮,蒋依依,好美,明星,漂亮,长大,佟丽娅,感觉,姑娘,有气质,好像,真好看,好看,裤子,女孩子,好美啊,小女孩,美女,链接,长得,猪头,好好看,有点像,气质,女儿,衣服,羡慕,宕机,小孩,有链接"
211057,41988,163552,5890,6067033,"抽象,想闻,OK,咋了,胳肢窝,嘎吱,评论区,文案,照片,调皮,身材,感觉,宕机,九转,大肠,搞笑女,朋友圈,笑死我了,喜欢,屌丝,不好,性感,不想,猪头,好看,发呆,不处,长得,拉屎,学会了"
163557,1349,17516,7752,2268998,"叔叔,大冰,郭展,两小时,睡眠,神来,不来,自我介绍,忘词,说的就是,心路历程,零零星星,点到,生活,变帅,睡了,看过,挺逗,太棒,好看,公主,别买,小龙哥,宁酱,熊本熊,QIKI,可乐,河北,文旅,软广"
353987,6504,82768,18939,2398850,"喜欢,卷毛,老公,帅哥,宝宝,好帅,调皮,思念,生命,也有,呼吸,猪头,我喜欢,我去,OK,好喜欢,有你,发呆,爆灯,好看,刷到,不处,迷糊,想谈,我老公,爱心,感觉,讨厌,香菜,给你"
152142,2434,22563,18979,2136712,"时间,想起,难过,创可贴,幸福,的人,伤害,回忆,感觉,伤口,分手,事情,发现,都会,情绪,哭了,创口贴,不想,记得,宝宝,忘记,喜欢,一个人,抱抱,幸福的,伤疤,文案,记忆,好像,痛苦"
153399,14948,78591,8268,14000448,"清道夫,辣条,手套,福寿螺,甲鱼,黄辣丁,河虾,带个,掰断,看着,爱看,发呆,解压,宕机,好看,九转,大肠,龙虾,这是,好爽,OK,王八,折叠屏,感觉,看得,斯内克,还能,能不能,淹死,小龙虾"
221603,14470,3861,21858,5925453,"感谢,英雄,爱心,致敬,平安,好人,一生,点赞,舍己救人,致敬英雄,平安果,抱抱,保佑,人民,学习,辛苦了,舍已救人,救人,英雄们,抱拳,你点赞,老天,救人英雄,惊讶,人民英雄,敬礼,平平安安,长命百岁,注意安全,民警"
284371,26391,264557,18683,9455749,"大郎,眼神,表情,妈妈,好可爱,吃药,猫猫,笑死我了,小猫,大朗,猫咪,好委屈,非死不可,宕机,小眼神,OK,九转,大肠,不想,喝药,发呆,宝宝,感觉,好像,给你,配合,回来,样子,小表情,看着"
160271,14816,64701,8802,9758397,"握把,消音器,垂直握把,三角,M416,四倍镜,后坐力,消音,不好,压不住,子弹,m4,不好用,小黄车,压枪,感觉,M4,直角,轻型握把,喜欢,好用,玩意,确实,雷神,扩容,拇指,不稳,漂亮,弹鼓,不错"
116102,14777,147924,5333,3586572,"OK,展示,八字,宕机,老实,发呆,牛逼,阿迪达斯,阿迪,评论区,摩托车,惊恐,试试,广告,逆天,大王,摩托,九转,大肠,素材,用户,无敌,老祖宗,回去,nb,讨厌,看评论区,笑死我了,打钱,哥们"
426259,28112,87018,40990,3663555,"退后,先看,男朋友,OK,评论区,喜欢,让我,回来吧,好了,艾特,快递,宝宝,姐姐,欢看,他好,给我,爱看,菜鸟驿站,帮我,好看,没事了,调皮,美女,对象,大妹子,娇妻,回来,朋友,身材,网易"
462857,45787,393620,16127,8165482,"聪明,好聪明,宕机,发呆,好可爱,小猫,福福,猫猫,艾特,我去,聪明的,OK,开心,给你,笨狗,见过,我家,九转,大肠,灵石,好厉害,成精,猪头,小子,高考,感觉,我靠,我给,暗中观察,想要"
181282,19915,447831,20754,6237730,"实名,观看,爱看,让我,的人,阿姨,笑死了,拒绝,女色,喜欢,做起,振兴中华,广东,OK,九转,大肠,好看,暴雪,发呆,湖南,地板,朋友,广西,抖音,宕机,不白看,安徽,这是,暗中观察,灵机一动"
286189,15119,249537,16938,12058650,"呼唤,远山,新疆,好美,太美了,工资,这是,孩子,还得,地方,上班,老公,有钱,出发,好想,没钱,我了,好看,不想,感觉,AI,抖音,好漂亮,去过,灵机一动,玩了,有没有,好好看,别搞,美的"
193163,35875,94158,7075,3825334,"OK,逆水寒,衣服,好看,好好看,宕机,人民币,想要,九转,大肠,莫名其妙,茶壶,15w,能不能,好美,少爷,我去,买不起,喜欢,小姐,咬咬牙,发呆,逞强,落泪,感觉,真好看,给我,翅膀,不买,有钱人"
255161,17971,2881,14907,8601306,"感谢,英雄,点赞,爱心,平安,好人,一生,致敬,人民英雄,旭恒,人民,舍己救人,平安果,致敬英雄,学习,中国,你点赞,健康长寿,真英雄,民警,健康,大英雄,抱抱,抱拳,保佑,救人,舍已救人,平平安安,英雄点,一等功"
102945,4227,24757,2195,4381458,"孩子,有爱,好人,的人,善良,外卖小哥,温暖,骑手,暖心,真好,老板娘,感谢,世界,平安,一生,外卖,感动,爱心,生意,生活,人间,外卖员,帮忙,长大,抱抱,美团,宝宝,都是,接力,看着"
131544,6171,43290,3954,2616166,"好可爱,忧忧,OK,电影,好像,想到,笑死我了,喜欢,尴尬,去看,感觉,九转,大肠,想起,真实,好看,一模一样,尴尬的,有点像,宕机,宝宝,太可爱了,莫名其妙,发呆,我了,笑死了,ing,是我,头脑,事情"
374687,9942,51496,7167,9047554,"血肉,狗肉,山东,长出,疯狂,被爱,狗狗,OK,的人,小狗,山东人,好人,江户川,我家,评论,平安,爱会,一生,宝宝,评论区,太庙,抱抱,艾特,配享,好吃,盖庙,喜欢,动物,抖音,感谢"
279270,4998,22920,10053,5918790,"来人,留子,老家,军中绿花,娘家,眼泪,留学生,中国人,完了,军训,预备,回应,热泪盈眶,娘家人,热血沸腾,哭了,寒风,飘飘,落叶,狗仗人势,唱歌,宕机,解放军,仪仗队,感动,激动,我不会,首歌,中国,白俄罗斯"
424996,19181,148405,34226,9630079,"瑞士,过山车,我去,好想,猪头,感觉,发呆,盖尔,文案,钱会,回来,抖音,有钱,道理,风景,去吧,OK,好美,出去玩,新疆,往返,坡度,样子,阿尔卑斯山,川西,文旅,诱惑,没钱,欧洲,出发"
246641,11627,135976,5569,12772406,"法老,宕机,发呆,埃及,好高,中国,埃及法老,好高啊,好帅,木乃伊,衣服,感觉,抖音,国家,毕业,九转,大肠,考研,埃及人,我去,硕士,我以为,宠妃,好像,文化,多高,好酷,见到,学校,刷到"
392222,17952,87362,19021,12345716,"中国,马赫,真理,大炮,祖国,中国人,争气,奥特曼,咱妈,国家,文物,强大,骄傲,爽文,万岁,归还,我妈,妈妈,射程,大英博物馆,日本,回来,收徒,九转,大肠,导弹,尊严,感谢,繁荣昌盛,中华人民共和国"
98515,10593,232336,2142,7391309,"减速带,笑死我了,吃了,玉米肠,路面,颜色,看不到,头盔,宕机,笑死了,摔了,设计,地面,这是,官方,水泥,好可爱,感觉,看得,看了,有问题,骑车,好疼,小狗,牙齿,没用,我以为,不快,合理吗,我还以为"
143888,4113,28333,5257,4861790,"香港,香港回归,生日,回归,出生,首歌,祖国,繁荣昌盛,抱抱,祝福,庆祝,普通话,回家,生日快乐,去过,热烈庆祝,祝福祖国,爱心,记得,听到,是我,歧视,地方,好想,香港人,粤语,东方之珠,荣幸,感谢,时间"
120475,8256,11731,12331,8074170,"真功夫,厉害,功夫,六小龄童,猴拳,表演,感谢,不错,高手,动作,年龄,好功夫,抱拳,西游记,民间,孙悟空,功底,实战,完美,穿上,历害,牛逼,猴子,真棒,武术,衣服,确实,灵活,这是,漂亮"
307322,11541,89997,18367,5113072,"性感,男人,麦克,在这,弱爆了,不需要,都比,结婚,贵气,身材比例,好耶,帅到,领导,跳舞,超喜欢,太帅了,早点睡,DO,上热门,讨厌,眼袋,痘印"
338216,11493,69245,25696,4426742,"冰箱,我家,赵露思,OK,好看,评论区,全是,剩菜,都是,感觉,宝宝,喜欢,调皮,身材,帽子,情愿,好像,衣服,适合,链接,九转,大肠,有感觉,爱上你,给我,拍个,照片,拍的,姐姐,给你"
211167,26182,348441,8766,16554942,"安全员,ps,安全帽,工地,PS,工作,帽子,笑死,帽带,九转,大肠,笑死我了,大佬,p图,公章,笑死了,暗中观察,照片,技术,老板,领导,隐患,评论区,P图,干过,整改,一份,就业,罚款,灵机一动"
426992,14086,42724,17305,8359947,"评论区,留子,中国人,红绿灯,看评论区,外国人,警察,九转,大肠,硬控,宕机,中国,意林,感觉,留学生,看评论,不知道,过马路,老外,朋友,闯红灯,红灯,记得,外国,派对,评论,OK,热闹,视频,文明"
318901,6600,174107,25548,5246939,"射手,喜欢,好看,掉下去,射手座,不白看,新加坡,这是,发呆,你老婆,老公,爱看,底层,老婆,卖力,一不骗,二不骗,微不足道,现实,陌生人,送温暖,黑暗,用户,取悦,一个人,春风,过客,繁星,星河,祝你"
445871,9694,96226,31026,3678872,"思念,也有,喜欢,呼吸,有你,生命,宋词,帅哥,宝宝,好帅,OK,眼睛,老公,调皮,抖音,感觉,名字,猪头,陈喃,首歌,九转,大肠,不想,推荐,刷到,让我,看帅哥,爱了,偷看,女生"
465837,35345,239647,16044,19286353,"bgm,鸡皮疙瘩,杨幂,BGM,起来了,感觉,赵无延,屋檐,抬头,演技,仙剑三,音乐,景天,仙剑,雪见,响起,电视剧,宿命感,配乐,没错,麦振鸿,胡歌,仙剑一,看过,恰到好处,一响,紫萱,灵动,喜欢,看了"
136757,4578,193732,15988,4553899,"猫哥,爱看,阿姨,休息,前提,让我,拒绝,喜欢,不白看,抖音,婚纱,严选,你点赞,感谢,赵七,好人,平安,广东,发呆,评论区,太美了,居里夫人,不想,女人,穿成,非常感谢,谁的老婆,政府,平台,CCTV"
319532,16576,155576,14650,5708718,"小猫,口气,老弟,口臭,九转,大肠,姐姐,好大,臭臭,攻击,小茄子,不高兴,好像,小鼻嘎,好可爱,放开,滂臭,凑凑,炒俩,我家,笑死我了,橘猫,OK,评论区,欺负我,吹倒,猪头,哈气,给我,微醺"
309892,7656,139337,8608,7169909,"上床,小狗,好可爱,凉席,鸡毛,猪头,席子,笑死我了,调皮,配音,我家,头发,说话,好像,阴阳怪气,睡觉,夹毛,小猫,语气,OK,老实,宕机,发呆,宝宝,感觉,九转,大肠,不准,艾特,小狗狗"
117238,3794,43004,30648,5144453,"身材,喜欢,好看,男人,党和人民,女人,找个,完美,漂亮,姿色,肉肉,真棒,大叔,有没有,看了,怀疑,真好看,好身材,聊天,越好,有吗,背影,你好,极品,尤物,带劲,不错,不白看,给你,爱心"
185416,31506,68064,9581,2416575,"成都,ID,id,有没有,光遇,好想,我带,宝宝,羡慕,帮忙,OK,我去,宕机,能帮,老师,逞强,落泪,发呆,眼含,热泪,带我去,帮我,猪头,哭了,照片,我想,大肠,九转,快去,帮带"
478075,16263,56467,16130,10847366,"出道,都会,OK,出道吧,姐姐,宕机,唱跳,刷到,首歌,感觉,女神降临,好听,神秘,girl,粉丝,九转,大肠,好像,实力,宝宝,抖音,表情管理,发呆,时代峰峻,调皮,版权,收拾,大妹子,衣服,韩剧"
298837,10401,333591,32469,9217879,"爱看,不白看,喜欢,有劲,好看,这是,有图,让我,二不骗,抖音,卖力,给你,队伍,陌生人,救赎,带劲,就来,的人,拒绝,黑暗,列车,九转,大肠,给我,女色,做起,身材,笑死了,灵机一动,爱心"
166085,7851,14603,12673,14702764,"双胞胎,孩子,爱心,北大,感谢,优秀,梦想成真,厉害,小学生,溆浦,姐妹,希望,国防科,恭喜恭喜,点赞,骄傲,大学,看着,祝贺,分数,父母,真棒,清华,高考,国家,国防科技大学,恭喜,我家,妹妹,祝福"
118321,35287,390455,4884,12465643,"幼儿园,变脸,吓人,园长,好可怕,好恐怖,恐怖,老师,孩子,太吓人了,九转,大肠,可怕,速度,太可怕了,川剧变脸,吓到,感觉,表情,瘆人,家长,真吓人,小孩,笑面虎,责任,表情管理,宕机,变得,我了,学校"
130142,3813,77151,10599,11872105,"拔罐,大爷,不拔,正面,车展,拔火罐,车模,火罐,可惜了,不去,后背,男人,看车,衣服,保安,猥琐,发呆,这是,眼神,你们老婆,在哪里,暗中观察,九转,大肠,你老婆,拔个,好看,老头,梦泪,可惜"
153503,12759,960,6346,2814232,"感谢,美女,谢谢,吉言,爱心,收下,谢谢你,妹妹,收到,祝你,多谢,平安果,祝福,全家,你好,快乐,謝谢,身体健康,好意,心想事成,平安,如意,小妹妹,小妹,善良,一生,小美女,祝你幸福,姑娘,发财"
343725,24457,43936,7100,5763304,"生日快乐,祝党,繁荣昌盛,祖国,我党,快乐,祖国万岁,爱心,感谢,抱抱,生日,党生日,中国,祝福祖国,人民,祝愿,中国共产党,万事如意,国泰民安,永葆青春,健康,社会,和谐,嘻嘻,荣幸,我和,万丈光芒,光荣,万岁,英雄"
382351,35661,207884,20567,15092322,"心想事成,好看,看了,感觉,好好好,重生,好运,笑死我了,好像,宕机,小说,灵机一动,张凌赫,女主,剧情,陈鹤一,OK,发呆,喜欢,九转,大肠,好看的,去看,暗中观察,赵今麦,男二,电视剧,猪头,ju,笑死了"
110987,10602,4495,11183,4879262,"爱心,恭喜恭喜,儿女,点赞,母亲,孩子,的母亲,培养,感谢,了不起,优秀,恭喜,国家,优秀的,你点赞,真棒,父母,妈妈,人才,骄傲,沾沾喜气,女儿,太优秀了,优秀儿女,清华,太棒了,儿子,平安果,考上,祝贺"
90473,41541,27580,18179,3243483,"历史,文明,中国,中国历史,公知,世界,领先,文化,英国,沉迷,道理,国家,都是,华盛顿,欧洲,感谢,你说,主播,的人,中国人,落后,世界历史,博物馆,发展,文物,真话,美国,抖音,外国,胡说八道"
502649,31698,173998,35188,4229566,"老实,让我,OK,帅哥,谈不到,想谈,谈个,调皮,喜欢,谈到,教程,不想,宕机,感谢,看不上,九转,大肠,老公,小帅,感觉,帅的,谈过,不知道,现实,给我,灵机一动,躺平,对象,求放过,请问"
126130,6714,87356,12323,4467609,"惊讶,打开,感谢,玻璃渣,抱抱,指甲盖,打不开,瓶子,老实,求放过,可乐,粽子,发呆,生就,笑容,笑成,大奋,指甲,人生,玻璃瓶,偷喝,方式,暗中观察,口香糖,眼神,玻璃,碎渣,范马,勇次郎,塑料"
354960,5357,56856,18010,2336302,"河南,网恋,好美,大省,宝宝,河南人,OK,让我,喜欢,都说,抖音,确实,说话,不敢说,希望,好漂亮,性格,害怕,好看,气氛,分手吧,不应该,东西,异地,哪有,不吵架,我很好奇,合适,坚定,干扰"
199853,17331,112594,7865,2426834,"卷毛,喜欢,大妹子,抖音,手机,天塌,OK,项链,你看,好看,猪头,发呆,小狗,看了,宝宝,咬手指,刷到,我能,天都,这是,够了,学学,我喜欢,好可爱,头发,拉屎,视频,上班,不好意思,要看"
211870,12644,153386,13713,7811067,"小品,春晚,三喜,好看,吕严,土豆,楚门,的世界,感觉,讽刺,好笑,喜剧,看了,创意,不好笑,宕机,大赛,第三季,开播,吐槽,有意思,一年一度,腾讯,过年,不知道,九转,大肠,好像,不错,包饺子"
114068,9160,165175,1302,3276485,"笑死我了,衣服,笑死了,宕机,笑得,OK,最搞笑,主播,这是,好好笑,我以为,特效,好可爱,我想死,拍过,身材,笑晕,发呆,它善,谁懂,莫名其妙,识别,调皮,我了,双胞胎,我笑死,好搞笑,艾特,姊妹,视频"
336057,6689,43609,17011,8370441,"baby,喜欢,比伯,好听,首歌,ccd,OK,好喜欢,宕机,调皮,贾斯汀,相机,好好听,感觉,Justin,歌词,oh,Bieber,鞋子,好痒,甜妹,猪头,超喜欢,英语,我去,声音,love,好帅,想要,小学"
231558,28485,348552,6732,19675741,"桃酥,好吃,很好吃,东西,牛奶,爱吃,垃圾桶,喜欢,玩意,感觉,讨厌,不爱,OK,吃了,不吃,詹记,不喜欢,九转,大肠,真实,渣渣,挺好吃,难吃,宕机,泸溪河,零食,我爱,都是,玩意儿,食物"
207986,3635,56490,3340,4860697,"好可爱,小狗,奶奶,狗狗,品种,好像,这是,我家,宝宝,干净,好乖,喜欢,小狗狗,监控,猪头,抱抱,小宝宝,照顾,太可爱了,视频,陪陪,真好,感觉,好可爱呀,好漂亮,歪头,回家,余华,爱它,肉肉"
195172,19172,39939,26777,8373460,"烟草,张雪峰,专业,孩子,行业,公司,单位,都是,社会,老百姓,中国,工作,电力,的人,现实,老师,普通人,张老师,戒烟,人脉,银行,关系,农民,上班,抽烟,国家,工资,资源,毕业,石油"
285214,11484,88044,6761,7920553,"也有,小猫,我家,猫猫,有猫,野人,逆子,摸摸,尸体,我有,有吗,暗中观察,九转,大肠,没有猫猫,调皮,猪头,没事,宕机,的人,猫啊,宝宝,抱抱,弃养,OK,都没有,喜欢,布偶,两只,小猫咪"
157262,6949,215303,25948,8541275,"爱看,实名,观看,好看,抖音,喜欢,感谢,不白看,关注,刷到,不错,这是,你点赞,真好看,灵机一动,比基尼,的人,美女,发呆,OK,看了,的世界,选妃,发明,发际线,老婆,收藏,给我,果断,宕机"
