播主昵称,达人详情链接,抖音号,视频标题,发布时间,视频时长,热词,视频详情链接,视频链接,PC1,PC2
宁教,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62895515&tab=&ts=1719989024&sign=1e04296c3bed58220919794c1f48c386,Ningjiao368,#驾考宝典 #教练 #考驾照 #科目二   这个时候让我想起了上一批毕业的大学生啦,2024/6/28 20:42:05,25秒,"教练,考驾照,学车,驾校,广西,驾照,练车,许光汉,好帅,教我,报名,老头,宕机,调皮,九转,大肠,巧克力,帅的,我去,感觉,OK,喜欢,重考,想谈,帅哥,在哪,完了,情绪稳定,能不能,发呆",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385533484514708736&dateCode=20240628&ts=1719989024&sign=29c51d036ae52d76062afd04e8d0033d,https://www.douyin.com/share/video/7385533484514708736/?mid=,3427240.021601246,77227.73083441443
悟空探影,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=27032248&tab=&ts=1719989024&sign=85518aa8c1d7ca84fc32c829d24f51c9,alexen181,一口气看完这部看后无不落泪的电影 #我在抖音看电影 #一剪到底 #爱国 #一口气看完系列,2024/6/26 18:16:46,18分4秒,"电影,烈士陵园,看了,刷到,连长,蒙生,倪大红,中国,看过,四爷,董卓,好电影,诸葛亮,花环,开来,哭了,雷军,的人,看一遍,都会,眼睛,高山,人民,司马懿,贵妇人,战争,儿子,眼泪,百看不厌,英雄",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384753828689759507&dateCode=20240626&ts=1719989024&sign=14467e369834eaf63acb6214e4abd595,https://www.douyin.com/share/video/7384753828689759507/?mid=,7892305.767239101,18311.094165489692
酒星,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62468814&tab=&ts=1719989024&sign=cc8254b5086cf84d4e642d515b58acc9,62666235528,#疯狂陀螺游戏 #玩点很新的东西 #旋转陀螺,2024/6/29 18:57:19,1分5秒,"陀螺,发呆,好帅,特效,宕机,动画片,异火,心火,青莲,火焰,卧槽,飓风战魂,琉璃,莲心,我去,牛逼,是真的,红色,OK,想玩,九转,大肠,好玩,太帅了,燃起来了,萧炎,领域展开,好看,火力少年王,男人",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385877561848466688&dateCode=20240629&ts=1719989024&sign=27ea964bbeb7d8c465082667dfdaf7af,https://www.douyin.com/share/video/7385877561848466688/?mid=,11523101.476776848,6527.755593756433
real_lhxxx,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=41592374&tab=&ts=1719989024&sign=465a07f8785fe5dba3449fd48aaa4256,82953572643,原来思念也有生命 有呼吸 有你,2024/6/28 21:37:40,,"冰箱,我家,吊带,思念,全是,宝宝,呼吸,链接,都是,生命,剩菜,感觉,也有,好看,有你,好像,赵露思,拍的,姐姐,调皮,OK,老婆,宕机,九转,大肠,给你,只能,不行,给我,适合",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385547807446371636&dateCode=20240628&ts=1719989024&sign=6e4d4dd285a8d5cf100a9bd7bf7c6065,https://www.douyin.com/share/video/7385547807446371636/?mid=,-835277.7817524893,79413.07621757968
机车-擎掣,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=51088988&tab=&ts=1719989024&sign=bff9995dc5253efc466c5114c747648f,JCQC0829,这八字属实硬#危险动作请勿模仿,2024/6/27 12:51:44,15秒,"发呆,宕机,牛逼,警车,八字,头盔,OK,哥们,九转,大肠,我去,全体起立,自行车,惊恐,卧槽,祖宗,警察,疑问,nb,路人,钻过去,逆天,暗中观察,摆头,电影,重要性,摩托车,我靠,阎王,撤回",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385041205706378547&dateCode=20240627&ts=1719989024&sign=66b253c0f5cbbf34f3139a62d4a00430,https://www.douyin.com/share/video/7385041205706378547/?mid=,4749856.841442727,99483.8505051801
38547859809,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=64739240&tab=&ts=1719989024&sign=f4296ac96c5147ca0eda7e60dd5e5111,38547859809,#小猫是平淡生活的解药,2024/6/28 21:48:59,7秒,,https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385550739076107555&dateCode=20240628&ts=1719989024&sign=574bfd817ed8ef795cb1e03fe37e2881,https://www.douyin.com/share/video/7385550739076107555/?mid=,2368763.771272371,67700.07509580466
林优漫剪,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=19514468&tab=&ts=1719989024&sign=30ba275f104d879256fa5785f9bb4db1,LINYOUMANJIAN,"『帅的根本不在一个图层』
#蜡笔小新 #远昼创意
@新川漫剪",2024/7/1 13:15:50,17秒,"好帅,小新,蜡笔小新,宕机,OK,我去,表哥,发呆,人物,这是,堂哥,帅哥,帅的,没见过,感觉,看过,猪头,喜欢,真的帅,风间,真帅,画风,看了,不知道,调皮,九转,大肠,记得,帅啊,印象",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386531735359458569&dateCode=20240701&ts=1719989024&sign=032b1d417b8adc6e88b117b506606f5a,https://www.douyin.com/share/video/7386531735359458569/?mid=,-1168794.948369756,116659.92931387934
橘小白,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=58805845&tab=&ts=1719989024&sign=d40487114dcea5257c0c6c45b2b3cb32,41465324086,虽然你俩天天吵架，但是有你们的日子我很幸福很快乐#吵架猫 #猫咪的迷惑行为 #萌宠出道计划,2024/6/27 20:13:06,1分21秒,"吵架,猫条,白猫,化妆,笑死我了,橘猫,大橘,大白,笑死了,小白,假装,九转,大肠,pk,笑死,好可爱,宕机,打架,三花,没眼看,演戏,两只猫,猫猫,PK,圈点,吃的,主播,绝育,博主,有没有",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385154929800842537&dateCode=20240627&ts=1719989024&sign=ea04afeec0f0047b7332aabc141f96d3,https://www.douyin.com/share/video/7385154929800842537/?mid=,4501592.138971532,48450.02771673488
zay of candy,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=24199054&tab=&ts=1719989024&sign=3e02ad9df8ed7ed6c962e969e92e5508,zay761193084,暴雨过后武汉出现了世纪晚霞，我猜 你又错过了 #武汉 #世纪晚霞 #武汉旅游攻略 #武汉美好推荐官 #内容启发搜索,2024/6/29 20:14:56,7秒,"武汉,晚霞,火烧云,好看,拍的,拍到,好美,好好看,错过了,意味着,学校,发呆,不出门,也有,行千里,宝宝,上岸,天空,OK,没看见,感谢,宕机,赶上,朝霞,调皮,苏醒,我去,暴雨,下雨,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385897571434204416&dateCode=20240629&ts=1719989024&sign=db83d54046fc1b0804e2edac6bc34a15,https://www.douyin.com/share/video/7385897571434204416/?mid=,3673993.115247306,26597.531598937843
汤圆丸子,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=45711145&tab=&ts=1719989024&sign=a37f06f45e0cc6e6d835dcadf6406f19,66655865849,闻到花香也是一种奢侈呢… #脑外伤后遗症 #我的住院日记 #我的人间记录 #碎碎念 #记录真实生活,2024/6/28 6:29:09,7秒,"请假,理由,好好活着,抱抱,早日康复,活着,宝宝,好朋友,出院,休息,我可以,自有妙计,用不着,你别,康复,健康,我有,好好的,给我,希望,辞职,朋友,你好,健健康康,上班,旷工,不准,办法,没事,老板",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385313573049830693&dateCode=20240628&ts=1719989024&sign=27ff35dc07bcc7f896f39671758e33f9,https://www.douyin.com/share/video/7385313573049830693/?mid=,1975265.6046448427,24092.740734901956
鱼仔笨笨车,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=59336090&tab=&ts=1719989024&sign=c3c0fab7e05f5264a2eb732741a898f2,70929885894,还得是扭扭车，依旧那么潇洒飘逸 #骑行 #扭扭车,2024/6/26 20:09:00,10分6秒,"想玩,好玩,爱看,好看,好好玩,减速带,扭扭车,感觉,比赛,尾流,闷闷,宕机,看着,破风,发呆,脚刹,九转,大肠,老哥,硬控,下坡,刹车,男人,秋秋,OK,刷到,这是,有意思,男生,是真的",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384782800597028106&dateCode=20240626&ts=1719989024&sign=0d1c1cc3c9b258afcda70d1f73d8f54f,https://www.douyin.com/share/video/7384782800597028106/?mid=,7147055.29428947,26150.69639532344
二🏸️,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=37620059&tab=&ts=1719989024&sign=026eac3c2aa9d9dac279ad75f9a3c283,si17726,跟打羽毛球的女生在一起超级幸福 #羽毛球 #打羽毛球女生 #甜妹 #体育生,2024/6/27 11:40:20,11秒,"球拍,嫁妆,姐姐,拍子,见过,喜欢,入赘,OK,老婆,发呆,女孩,宕机,彩礼,能不能,结婚,性别,不谈,漂亮的,最美,宝宝,羽毛球,想要,给我,抛开,女人,川崎,可以吗,拿下,调皮,这是",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385022770758946088&dateCode=20240627&ts=1719989024&sign=99e38dc49f1b7528d2203e8e9d6e51f1,https://www.douyin.com/share/video/7385022770758946088/?mid=,-290809.8892410014,57940.10145956498
pennyum_^^,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=40054224&tab=&ts=1719989024&sign=36d2c41e786e147ab31f3fa5b7a33ac1,pennn77491,"音乐会开场前光启五位亲自录的演出前温馨提示/因为有点突然所以前面一段11和77的没有录到见谅
#光与夜之恋 #光与夜之恋音乐会 #光与夜之恋三周年 #音乐现场 #乙游",2024/6/30 8:40:04,34秒,"不想,羡慕,没事,嫉妒,光头,我去,很想,上海,发出,跳楼,音乐会,OK,包听,逞强,落泪,老公,啊啊啊啊,听话,声音,眼含,热泪,宕机,九转,大肠,听到,哭了,没去,发呆,好啊,感觉",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386089589259193636&dateCode=20240630&ts=1719989024&sign=f06f8106f4e816c4fcc46b1b62150fa6,https://www.douyin.com/share/video/7386089589259193636/?mid=,2106331.3426301708,118007.61561809469
阿呆gua,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=55981256&tab=&ts=1719989024&sign=8c4188b84a1f440698444d9f32dd20d0,20974018315,艾特你的沙雕好友来看 #搞笑视频 #专业动作请勿模仿,2024/6/28 15:34:17,1分,"OK,佛祖,笑死我了,佛说,正片,宕机,看到最后,功德,广告,ing,还好,九转,大肠,女朋友,发呆,用户,讨厌,不行,生性,多疑,分享,笑死了,大王,好友,视频,喜欢,艾特,转发给,小猫,爱吃",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385454146905771273&dateCode=20240628&ts=1719989024&sign=36d6513c77606fb980f8ec49453d0911,https://www.douyin.com/share/video/7385454146905771273/?mid=,4311659.562196117,112213.02760494013
鹅厂顶流剪辑师,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=7552741&tab=&ts=1719989024&sign=e5f7ef75c1be2ded868ac2fa91699ced,chaixiaoqi2021,那英：这很难评！ #好想好想谈恋爱 #那英,2024/7/1 17:07:23,50秒,"笑死我了,那英,帮人,未遂,OK,笑死了,危言耸听,宕机,珊珊,英子,九转,大肠,表情,一句,我笑死,我以为,娜姐,给他,不吃,小女孩,小孩,感觉,电视剧,逆天,表情包,笑点,看着,有点像,大粪,认出来",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386591418350882058&dateCode=20240701&ts=1719989024&sign=996c39c89e26abd45d38464c0da8b489,https://www.douyin.com/share/video/7386591418350882058/?mid=,3381132.0084351455,101981.39238306475
林芊屿,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=62138245&tab=&ts=1719989024&sign=8cea0200c807c9a5dbf17a96a670da4c,TuTuoo7,这首歌真的拉回记忆了,2024/6/28 10:09:21,6秒,"宝宝,吱声,秒回,评论,点赞,更好,活跃,猪头,新号,包回,抱抱,好美,秒赞,巨快,评论区,会回,账号,爱心,好看,调皮,听说,喜欢,OK,很闲,太美了,头像,新发,求求了,作品,美女",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385370419080989993&dateCode=20240628&ts=1719989024&sign=5afbba0315365882e5c9cee323531fae,https://www.douyin.com/share/video/7385370419080989993/?mid=,-1666701.4277318234,73198.69486589111
落榜美术生📷,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=65743957&tab=&ts=1719989024&sign=24371e2f95416055b7ae616a7dcb9028,57207563524,活力女孩#运动系女孩 #校园篮球 #笑容最治愈的女孩 #大长腿 #校园生活,2024/7/1 10:39:22,4秒,"广工,喜欢,看了,爱看,震感,抖音,青春,广东,暗中观察,女孩子,发呆,学校,女生,灵机一动,观看,好看,这是,大眼睛,跑步,眼睛,活泼,活力,九转,大肠,表达,网友,大学,确实,艾特,不白看",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386486225085025555&dateCode=20240701&ts=1719989024&sign=fd47aa8824da65c12b33a14328d6bc33,https://www.douyin.com/share/video/7386486225085025555/?mid=,3616749.7253751545,36719.09497261987
麻辣烫很烫（重生之在杭州种地版）5.30,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=37997092&tab=&ts=1719989024&sign=108054b1b7883bb761166c6312f1dfef,wxc714759738,[麻辣烫很烫（重生之在杭州种地版）5.30](2024-06-27)发布的视频,2024/6/27 16:12:29,4秒,"动静,喜欢,声音,发呆,OK,吓我一跳,宕机,宝宝,九转,大肠,手机,什么动静,爱看,giao,这是,我以为,你老婆,老艾,让我,迷成,爽了,好听,好看,爱心,土豆,在干嘛,智障,听到,好可爱,我家",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385092900855631144&dateCode=20240627&ts=1719989024&sign=5a7c0d340aaa20446be7c0da1d3f227e,https://www.douyin.com/share/video/7385092900855631144/?mid=,492716.96071327594,186286.2744522536
耶耶贝塔塔,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=35187408&tab=&ts=1719989024&sign=52eef598f3dc005f9e18502425cc3731,qnananko,出差让男朋友去家里帮忙喂狗 结果打开监控看见这一幕…#萨摩耶 #萌宠 #监控下的一幕 #搞笑 #狗狗的迷惑行为,2024/6/28 17:20:50,28秒,"打架,抱摔,宕机,常威,九转,大肠,狗子,来福,拖鞋,打不过,笑死我了,打的,耶耶,打起来了,暗中观察,男朋友,萨摩耶,监控,摔跤,有来有回,发呆,狗狗,笑死了,玩不起,老实,不讲武德,我家,小狗,打起来,好可爱",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385481629415787785&dateCode=20240628&ts=1719989024&sign=c71b0a0787e1be8349bac7c29cc5d66b,https://www.douyin.com/share/video/7385481629415787785/?mid=,4955656.720521567,26836.81948732018
硅基智能,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=16775869&tab=&ts=1719989024&sign=1bad6630419e9125aadd119f0b9bbb57,guijiyuzhou,月球土壤用拼音命名，网友:他们字母全认识就是读不出来！ #数字人硅基造 #硅基劳动力 #打造一亿硅基劳动力 #数字人克隆 #AI,2024/7/1 11:56:57,30秒,"马赫,奥特曼,拼音,速度,中国,嫦娥,文物,大英博物馆,导弹,奥特之王,日本,归还,change,月球,国家,回来,真有,东西,中文,OK,三十而立,打击,命名,回收,九转,大肠,概念,真的有,宕机,汉字",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386511385808653579&dateCode=20240701&ts=1719989024&sign=ca51d31229ae74a613a95c15ed92f5f9,https://www.douyin.com/share/video/7386511385808653579/?mid=,3639025.6292342213,95879.37126198028
刘佳玺,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=14668937&tab=&ts=1719989024&sign=aea95038f1b69512c9558747190f595d,1083865340,美丽的古典舞#三国恋,2024/7/1 17:22:41,17秒,"好漂亮,蒋依依,好美,明星,漂亮,长大,佟丽娅,感觉,姑娘,有气质,好像,真好看,好看,裤子,女孩子,好美啊,小女孩,美女,链接,长得,猪头,好好看,有点像,气质,女儿,衣服,羡慕,宕机,小孩,有链接",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7386595359457430803&dateCode=20240701&ts=1719989024&sign=d46fd69c9eddf95a826309649c9ec353,https://www.douyin.com/share/video/7386595359457430803/?mid=,3368379.9300697763,44236.15839201389
王威wei,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=49142585&tab=&ts=1719989024&sign=67bbfa989fe21a77ce6a35d40b6f37d8,80084921415,#魅魔 #斯文败类 #发疯日常 #反差 #猎奇,2024/6/28 23:23:25,21秒,"抽象,想闻,OK,咋了,胳肢窝,嘎吱,评论区,文案,照片,调皮,身材,感觉,宕机,九转,大肠,搞笑女,朋友圈,笑死我了,喜欢,屌丝,不好,性感,不想,猪头,好看,发呆,不处,长得,拉屎,学会了",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385575030517812534&dateCode=20240628&ts=1719989024&sign=289adc06eb83bc58f8deccff0695b4ae,https://www.douyin.com/share/video/7385575030517812534/?mid=,1312734.9512635025,39742.41130823164
腾讯视频综艺,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=43512547&tab=&ts=1719989024&sign=5fafb7f08178173dc05c313cdfc18f0e,87298367255,《熬人奇妙夜》完整版 失眠族都来共鸣！#熬人奇妙夜 #喜人奇妙夜 #熬夜一族,2024/6/28 12:55:16,18分10秒,"叔叔,大冰,郭展,两小时,睡眠,神来,不来,自我介绍,忘词,说的就是,心路历程,零零星星,点到,生活,变帅,睡了,看过,挺逗,太棒,好看,公主,别买,小龙哥,宁酱,熊本熊,QIKI,可乐,河北,文旅,软广",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385413149278702885&dateCode=20240628&ts=1719989024&sign=b5011ec9764248252fa82d2a296b32a4,https://www.douyin.com/share/video/7385413149278702885/?mid=,-2486034.5080443043,122996.36968748034
钟禹翰,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=61688905&tab=&ts=1719989024&sign=f1fe03e9e35487e120c49dcc8b0b5cbe,69926976059,原来思念也有生命有呼吸有你,2024/6/26 21:50:18,,"喜欢,卷毛,老公,帅哥,宝宝,好帅,调皮,思念,生命,也有,呼吸,猪头,我喜欢,我去,OK,好喜欢,有你,发呆,爆灯,好看,刷到,不处,迷糊,想谈,我老公,爱心,感觉,讨厌,香菜,给你",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384808895832689929&dateCode=20240626&ts=1719989024&sign=8d04abba222472cfdb5001e4f4fbbace,https://www.douyin.com/share/video/7384808895832689929/?mid=,-2354740.56530885,114333.63038438193
Mr.小波,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=8689960&tab=&ts=1719989024&sign=16a387f6a9708c0132e3743c12cb1a6e,2207088392xb,时间并不是创可贴 我想起某些瞬间的时候还是会难过.,2024/6/26 22:21:32,5秒,"时间,想起,难过,创可贴,幸福,的人,伤害,回忆,感觉,伤口,分手,事情,发现,都会,情绪,哭了,创口贴,不想,记得,宝宝,忘记,喜欢,一个人,抱抱,幸福的,伤疤,文案,记忆,好像,痛苦",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7384816930684800256&dateCode=20240626&ts=1719989024&sign=18cf9bce4bbb0d1ab3af34ab0fe91acf,https://www.douyin.com/share/video/7384816930684800256/?mid=,-2617199.061393992,302572.00894626166
飞天牛,https://dy.feigua.cn/app/#/blogger-detail/index?bloggerId=60355103&tab=&ts=1719989024&sign=01a712e4b4e8235ce21fd7f33ab51e9c,65069973123,#野生河虾的捕捉方法,2024/6/28 15:41:29,9分44秒,"清道夫,辣条,手套,福寿螺,甲鱼,黄辣丁,河虾,带个,掰断,看着,爱看,发呆,解压,宕机,好看,九转,大肠,龙虾,这是,好爽,OK,王八,折叠屏,感觉,看得,斯内克,还能,能不能,淹死,小龙虾",https://dy.feigua.cn/app/#/video-detail/index?awemeId=7385455985298541843&dateCode=20240628&ts=1719989024&sign=9b014a7c315607bcd707d4a24287c812,https://www.douyin.com/share/video/7385455985298541843/?mid=,9244691.039376533,-15177.368531963893
